index,raw,preprocessed tweet,char count,pos,pronouns,nouns,verbs,adverbs,adjectives,symbols,punctuation,proper nouns,entity label,word count,unique word count,TTR,entity raw text,mentions,hashtags,urls,count(rel words),relationship words,class,ttr curve,ttr slope
1,https://t.co/iocNIgHxXH. @LovesOfaLDNgirl  here is the link!!!,$URL$. $MENTION$ here is the link!!!,62,"['NOUN', 'PUNCT', 'NOUN', 'SPACE', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT']",0,3,1,1,0,0,4,0,[],6,6,1.0,[],1,0,0,0,[],bot_fakefol,"[1, 2, 2, 3, 4, 5, 6, 6, 6, 6, 6]",0.5545454545454546
2,Well done hubby @Allan_76 http://t.co/AaeTwLucUG,Well done hubby $MENTION$ $URL$,48,"['INTJ', 'VERB', 'NOUN', 'ADP', 'PROPN']",0,1,1,0,0,0,0,1,[],5,5,1.0,[],1,0,0,1,['hubby'],bot_fakefol,"[1, 2, 3, 4, 5]",1.0
3,Two years with my lovely husband - thank you for the cotton flowers @Allan_76 http://t.co/R1x2vaWXEv,Two years with my lovely husband - thank you for the cotton flowers $MENTION$ $URL$,100,"['NUM', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'NUM']",1,4,1,0,2,0,1,0,['DATE'],15,15,1.0,['Two years'],1,0,0,1,['husband'],bot_fakefol,"[1, 2, 3, 4, 4, 4, 5, 6, 7, 7, 8, 8, 8, 8, 8]",0.5214285714285714
4,Sorry bunny about your ears but I was hungry.... http://t.co/9xyGLpgiSB,Sorry bunny about your ears but I was hungry.... $URL$,71,"['INTJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'X']",1,2,1,0,2,0,1,0,[],10,10,1.0,[],0,0,0,0,[],bot_fakefol,"[1, 2, 3, 4, 4, 5, 6, 7, 7, 8, 9]",0.7636363636363637
5,Mezze shots for lunch! http://t.co/vBBO2TKQ9c,Mezze shots for lunch! $URL$,45,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'INTJ']",0,2,0,0,0,0,1,1,['NORP'],5,5,1.0,['Mezze'],0,0,0,0,[],bot_fakefol,"[1, 2, 3, 3, 4, 5]",0.7428571428571429
6,Ready to hit the beach for the day :0) http://t.co/ZmF2iEFeoF,Ready to hit the beach for the day :0) $URL$,61,"['ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT']",0,2,1,0,1,0,3,0,[],10,9,0.9,[],0,0,0,0,[],bot_fakefol,"[1, 2, 3, 4, 5, 6, 6, 6, 7, 7, 7]",0.6090909090909091
7,Night at the opera! http://t.co/Dj3y7n5PoS,Night at the opera! $URL$,42,"['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PROPN']",0,2,0,0,0,0,1,1,[],5,5,1.0,[],0,0,0,0,[],bot_fakefol,"[1, 2, 3, 3, 4, 5]",0.7428571428571429
8,Lovely day in Muscat! @ Turtle Beach http://t.co/bkebJZmJGD,Lovely day in Muscat! $MENTION$ Turtle Beach $URL$,59,"['ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'X']",0,1,0,0,1,0,2,3,"['DATE', 'GPE', 'GPE']",8,8,1.0,"['Lovely day', 'Muscat', 'Turtle Beach']",1,0,0,0,[],bot_fakefol,"[1, 2, 3, 4, 5, 5, 5, 5, 6]",0.5666666666666667
9,First class with the bump :0) http://t.co/1T5xxCxOkg,First class with the bump :0) $URL$,52,"['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN']",0,3,0,0,1,0,2,0,"['ORDINAL', 'GPE']",7,7,1.0,"['First', ':0']",0,0,0,0,[],bot_fakefol,"[1, 2, 3, 4, 4, 5, 5, 5]",0.5833333333333334
10,Happy Easter everyone!!! http://t.co/BTFjt6gQZs,Happy Easter everyone!!! $URL$,47,"['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PROPN']",0,1,0,0,0,0,3,3,[],4,4,1.0,[],0,0,0,0,[],bot_fakefol,"[1, 1, 2, 3, 3, 3, 3]",0.39285714285714285
