index,raw,preprocessed tweet,char count,pos,pronouns,nouns,verbs,adverbs,adjectives,symbols,punctuation,proper nouns,entity label,word count,unique word count,TTR,entity raw text,mentions,hashtags,urls,count(rel words),relationship words,class,ttr curve,ttr slope
1,#NSFW XXX pics and preview vids from the Den of Debauchery #fetish #tssexychanel http://t.co/vIoh5yaLDw,$HASHTAG$ XXX pics and preview vids from the Den of Debauchery $HASHTAG$ $HASHTAG$ $URL$,103,"['SYM', 'PROPN', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'SYM', 'ADJ', 'NOUN', 'NOUN', 'NOUN']",0,6,0,0,1,2,0,4,"['ORG', 'MONEY']",14,12,0.8571428571428571,"['the Den of Debauchery', '#fetish #']",0,3,0,0,[],bot_social2,"[1, 2, 2, 3, 4, 4, 4, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7]",0.37254901960784315
2,Blkmlwaukeetgirl Gabor and I am still single http://t.co/mODv9SU59v,Blkmlwaukeetgirl Gabor and I am still single $URL$,67,"['PROPN', 'PROPN', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADJ', 'X']",1,0,1,1,1,0,0,2,['PERSON'],8,8,1.0,['Blkmlwaukeetgirl Gabor'],0,0,0,1,['single'],bot_social2,"[1, 1, 2, 3, 4, 5, 6, 7]",0.9166666666666666
3,House To House Feat. Kym Mazelle - Taste My Love(Police Records) 1987 http://t.co/ujus7lKfyL,House To House Feat. Kym Mazelle - Taste My Love(Police Records) $NUMBER$ $URL$,92,"['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'ADJ', 'NOUN', 'PROPN', 'PUNCT', 'NUM', 'VERB']",0,1,1,0,1,0,3,7,"['ORG', 'ORG', 'PERSON', 'DATE']",13,12,0.9230769230769231,"['House', 'House', 'Kym Mazelle - Taste', '1987']",0,0,0,0,[],bot_social2,"[1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 5, 5, 5, 6, 7]",0.3607142857142857
4,"Before WBMX, before many Chicagoans knew about House Music, deep in the Underground in lower Wacker Dr., Ron... http://t.co/OpO1FaFIeB","Before WBMX, before many Chicagoans knew about House Music, deep in the Underground in lower Wacker Dr., Ron... $URL$",134,"['ADP', 'PROPN', 'PUNCT', 'ADP', 'ADJ', 'PROPN', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'ADV', 'ADP', 'DET', 'PROPN', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN']",0,0,1,1,2,0,4,9,"['ORG', 'NORP', 'ORG', 'FAC', 'ORG', 'PERSON']",19,18,0.9473684210526315,"['WBMX', 'Chicagoans', 'House Music', 'Underground', 'Wacker Dr.', 'Ron']",0,0,0,0,[],bot_social2,"[1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.24901185770750986
5,"Ron Hardy was an instrumental DJ in the development of house music. An innovator and originator of the genre, he... http://t.co/cxzKaCAFts","Ron Hardy was an instrumental DJ in the development of house music. An innovator and originator of the genre, he... $URL$",138,"['PROPN', 'PROPN', 'VERB', 'DET', 'ADJ', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'PUNCT', 'X']",1,6,1,0,1,0,3,3,"['PERSON', 'ORG']",21,19,0.9047619047619048,"['Ron Hardy', 'DJ']",0,0,0,0,[],bot_social2,"[1, 1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 9, 10]",0.3426086956521739
6,THANK YOU SO MUCH RT @metalmujer: @TSSexyChanel You can also contact: https://t.co/oX0u7yKK1s,THANK YOU SO MUCH RT $MENTION$: $MENTION$ You can also contact: $URL$,93,"['VERB', 'PRON', 'ADV', 'ADJ', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PRON', 'VERB', 'ADV', 'VERB', 'PUNCT', 'NOUN']",2,1,3,2,1,0,2,3,['GPE'],12,12,1.0,['@metalmujer'],2,0,0,0,[],bot_social2,"[1, 2, 3, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7]",0.3758241758241758
7,Anyone with any info on self publishing it would be greatly appreciated THANKS IN ADVANCE,Anyone with any info on self publishing it would be greatly appreciated THANKS IN ADVANCE,89,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PRON', 'VERB', 'VERB', 'ADV', 'VERB', 'NOUN', 'ADP', 'PROPN']",1,4,4,1,0,0,0,1,['GPE'],15,15,1.0,['ADVANCE'],0,0,0,0,[],bot_social2,"[1, 2, 3, 3, 3, 3, 4, 5, 5, 5, 6, 6, 6, 6, 7]",0.3821428571428571
8,"I said all that to say I am gone again,. If is important yall know how to reach me. Facebook is entirely too... http://t.co/zrM6tOiWnP","I said all that to say I am gone again,. If is important yall know how to reach me. Facebook is entirely too... $URL$",134,"['PRON', 'VERB', 'ADJ', 'DET', 'PART', 'VERB', 'PRON', 'VERB', 'VERB', 'ADV', 'PUNCT', 'PUNCT', 'ADP', 'VERB', 'ADJ', 'PRON', 'DET', 'VERB', 'ADV', 'PART', 'VERB', 'PRON', 'PUNCT', 'PROPN', 'VERB', 'ADV', 'ADV', 'PUNCT', 'VERB']",4,0,9,4,2,0,4,1,['ORG'],24,21,0.875,['Facebook'],0,0,0,0,[],bot_social2,"[1, 2, 3, 4, 5, 5, 5, 5, 5, 6, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9]",0.23940886699507388
9,"I have to go to the dentist , my book is almost done and I got a lot of other shit to do on top of planning these... http://t.co/634ek6jgTa","I have to go to the dentist , my book is almost done and I got a lot of other shit to do on top of planning these... $URL$",139,"['PRON', 'VERB', 'PART', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'ADV', 'VERB', 'CCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PART', 'VERB', 'ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'PUNCT', 'X']",2,5,7,1,2,0,2,0,[],29,25,0.8620689655172413,[],0,0,0,0,[],bot_social2,"[1, 2, 3, 3, 4, 5, 6, 7, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]",0.2789766407119021
10,My mother is literally the only person that will always be there that will drop everything just to talk to me she... http://t.co/zv7nmhRA2j,My mother is literally the only person that will always be there that will drop everything just to talk to me she... $URL$,139,"['ADJ', 'NOUN', 'VERB', 'ADV', 'DET', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADV', 'VERB', 'ADV', 'ADJ', 'VERB', 'VERB', 'NOUN', 'ADV', 'PART', 'VERB', 'ADP', 'PRON', 'PRON', 'PUNCT', 'X']",2,3,6,4,4,0,1,0,[],23,20,0.8695652173913043,[],0,0,0,1,['mother'],bot_social2,"[1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7, 8, 8, 9, 10]",0.24826086956521737
