index,raw,preprocessed tweet,char count,pos,pronouns,nouns,verbs,adverbs,adjectives,symbols,punctuation,proper nouns,entity label,word count,unique word count,TTR,entity raw text,mentions,hashtags,urls,count(rel words),relationship words,class,ttr curve,ttr slope
1,"Today's Joke - The dogs ask each other what they're in for. The first dog sadly says, ""I just can't help myself... http://t.co/rUEEkFd9TW","Today's Joke - The dogs ask each other what they're in for. The first dog sadly says, ""I just can't help myself... $URL$",137,"['NOUN', 'PART', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'ADP', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADV', 'VERB', 'PUNCT', 'PUNCT', 'PRON', 'ADV', 'VERB', 'ADV', 'VERB', 'PRON', 'PUNCT', 'X']",3,4,5,3,2,0,5,1,"['DATE', 'PERSON', 'ORDINAL']",23,22,0.9565217391304348,"['Today', 'Joke - The', 'first']",0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]",0.2783092324805339
2,Today's Inspirational Quote Bloom where you are planted.,Today's Inspirational Quote Bloom where you are planted.,56,"['NOUN', 'PART', 'PROPN', 'PROPN', 'PROPN', 'ADV', 'PRON', 'VERB', 'VERB', 'PUNCT']",1,1,2,1,0,0,1,3,"['DATE', 'ORG']",8,8,1.0,"['Today', 'Inspirational Quote Bloom']",0,0,0,0,[],bot_social3,"[1, 2, 3, 3, 3, 4, 5, 6, 6, 7]",0.6303030303030304
3,Today's JokeA first grade teacher collected well known proverbs. She gave each child in her class the first half... http://t.co/tJRafVcvjW,Today's JokeA first grade teacher collected well known proverbs. She gave each child in her class the first half... $URL$,138,"['NOUN', 'PART', 'PROPN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'X']",1,7,3,1,3,0,2,1,"['DATE', 'ORDINAL', 'ORDINAL', 'CARDINAL']",20,19,0.95,"['Today', 'first', 'first', 'half']",0,0,0,2,"['teacher', 'child']",bot_social3,"[1, 2, 3, 4, 4, 4, 5, 6, 6, 6, 7, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11]",0.43083003952569165
4,English is fun! http://t.co/74e8J76u29,English is fun! $URL$,38,"['PROPN', 'VERB', 'ADJ', 'PUNCT', 'VERB']",0,0,2,0,1,0,1,1,['LANGUAGE'],4,4,1.0,['English'],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4]",0.8
5,Learn English / Spanish online! http://t.co/XHvkuur7IJ,Learn English / Spanish online! $URL$,54,"['VERB', 'PROPN', 'SYM', 'ADJ', 'NOUN', 'PUNCT', 'NOUN']",0,2,1,0,1,1,1,1,"['PERSON', 'NORP']",6,6,1.0,"['Learn English /', 'Spanish']",0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 5, 6, 6]",0.8928571428571428
6,A useful resource for foreign language learners!http://t.co/hKlUgiodiZ http://t.co/0xTRiigB5a,A useful resource for foreign language learners!$URL$ $URL$,93,"['DET', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'SYM', 'PROPN', 'NOUN']",0,4,0,0,2,1,0,1,[],8,8,1.0,[],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 4, 4, 5, 6, 6]",0.503030303030303
7,"Johnny's Prayer...JokeAt dinner, little Johnny was asked to lead the prayer.""But I don't know how to pray,"" he... http://t.co/MfggJm910r","Johnny's Prayer...JokeAt dinner, little Johnny was asked to lead the prayer.""But I don't know how to pray,"" he... $URL$",136,"['PROPN', 'PART', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'PUNCT', 'ADJ', 'PROPN', 'VERB', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'ADV', 'PART', 'VERB', 'PUNCT', 'PUNCT', 'PRON', 'PUNCT', 'X']",2,2,6,2,1,0,5,4,"['PERSON', 'PERSON', 'ORG']",19,18,0.9473684210526315,"['Johnny', 'Johnny', 'prayer.""But']",0,0,0,0,[],bot_social3,"[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10]",0.32600732600732596
8,Today's Inspirational Quote Climb the mountains and get their good tidings. Nature's peace will flow into you as... http://t.co/ayOekFhXit,Today's Inspirational Quote Climb the mountains and get their good tidings. Nature's peace will flow into you as... $URL$,138,"['NOUN', 'PART', 'PROPN', 'PROPN', 'PROPN', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PART', 'NOUN', 'VERB', 'VERB', 'ADP', 'PRON', 'ADP', 'PUNCT', 'PROPN']",1,5,3,0,2,0,2,4,"['DATE', 'ORG', 'ORG']",19,19,1.0,"['Today', 'Inspirational Quote Climb', 'Nature']",0,0,0,0,[],bot_social3,"[1, 2, 3, 3, 3, 4, 4, 5, 6, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10]",0.40019762845849804
9,Join our English / Spanish community on ECK Café!http://t.co/7a5n8SlypF http://t.co/p8Sm5gJ4nR,Join our English / Spanish community on ECK Café!$URL$ $URL$,95,"['VERB', 'ADJ', 'PROPN', 'SYM', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'X']",0,1,1,0,2,1,1,4,"['LANGUAGE', 'NORP', 'ORG', 'PERSON', 'CARDINAL']",10,10,1.0,"['English', 'Spanish', 'ECK', '�', 'http://t.co/p8Sm5gJ4nR']",0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 5, 6, 6, 6, 6, 7, 8]",0.5594405594405594
10,Learn conversational English / Spanish with us!For more details please contact us at: eckates@aol.com http://t.co/PuBxsN1TMM,Learn conversational English / Spanish with us!For more details please contact us at: eckates$MENTION$.com $URL$,124,"['VERB', 'ADJ', 'PROPN', 'SYM', 'PROPN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'INTJ', 'VERB', 'PRON', 'ADP', 'PUNCT', 'X', 'NOUN']",1,2,2,0,3,1,1,2,"['LANGUAGE', 'LANGUAGE']",15,15,1.0,"['English', 'Spanish']",1,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 7, 8, 8, 9, 10, 10]",0.5676470588235294
11,Start the day with a smile! http://t.co/CR1097uKkx,Start the day with a smile! $URL$,50,"['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN']",0,3,1,0,0,0,1,0,['DATE'],7,7,1.0,['the day'],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 4, 5, 5]",0.5476190476190477
12,"Captain's Announcement...Joke. Love itAfter a British Airways flight had reached its cruising altitude, the... http://t.co/F7FJkMnfLl","Captain's Announcement...Joke. Love itAfter a British Airways flight had reached its cruising altitude, the... $URL$",133,"['PROPN', 'PART', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'DET', 'PROPN', 'PROPN', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'PUNCT', 'INTJ']",0,5,2,0,1,0,4,5,"['GPE', 'ORG']",15,15,1.0,"['Captain', 'British Airways']",0,0,0,0,[],bot_social3,"[1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 8]",0.3207792207792208
13,"Today's Joke - Ohh my God hahaCletus is passing by Billy Bob's hay barn one day when, through a gap in the door,... http://t.co/josWR7blrp","Today's Joke - Ohh my God hahaCletus is passing by Billy Bob's hay barn one day when, through a gap in the door,... $URL$",138,"['NOUN', 'PART', 'PROPN', 'PUNCT', 'PROPN', 'ADJ', 'PROPN', 'PROPN', 'VERB', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PART', 'NOUN', 'NOUN', 'NUM', 'NOUN', 'ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'X']",0,6,2,1,1,0,4,6,"['DATE', 'PERSON', 'PERSON', 'DATE']",24,24,1.0,"['Today', 'Joke - Ohh', ""Billy Bob's"", 'one day']",0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11]",0.3054187192118227
14,Why take online language courses? http://t.co/mY6PQ77mEM,Why take online language courses? $URL$,56,"['ADV', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'X']",0,2,1,1,1,0,1,0,[],6,6,1.0,[],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 4, 5, 6]",0.7857142857142857
15,Talk to the mind or talk to the heart!? http://t.co/Smwq5rQGmr,Talk to the mind or talk to the heart!? $URL$,62,"['VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'X']",0,2,2,0,0,0,2,0,[],10,8,0.8,[],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 5, 5, 5, 5, 5, 6, 6, 7]",0.44755244755244755
16,There are so many reasons to learn a language!!! What is yours? http://t.co/goWyVzqCJe,There are so many reasons to learn a language!!! What is yours? $URL$,86,"['ADV', 'VERB', 'ADV', 'ADJ', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'ADJ', 'PUNCT', 'ADJ']",0,3,3,2,3,0,4,0,[],13,13,1.0,[],0,0,0,0,[],bot_social3,"[1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7]",0.38235294117647056
17,Why learn a foreign language? http://t.co/hA2xqlLPT7,Why learn a foreign language? $URL$,52,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN']",0,2,1,1,1,0,1,0,[],6,6,1.0,[],0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 5, 6, 6]",0.8928571428571428
18,Today's Joke - An almost blind guy walked into a sexy lingerie shop to purchase their most see-through item for... http://t.co/44b2NOZa7j,Today's Joke - An almost blind guy walked into a sexy lingerie shop to purchase their most see-through item for... $URL$,137,"['NOUN', 'PART', 'PROPN', 'PUNCT', 'DET', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PART', 'VERB', 'ADJ', 'ADV', 'VERB', 'PUNCT', 'PART', 'NOUN', 'ADP', 'PUNCT', 'NOUN']",0,6,3,2,3,0,3,1,"['DATE', 'PERSON']",21,21,1.0,"['Today', 'Joke - An']",0,0,0,0,[],bot_social3,"[1, 2, 3, 4, 5, 6, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",0.27461538461538465
