index,raw,preprocessed tweet,char count,pos,pronouns,nouns,verbs,adverbs,adjectives,symbols,punctuation,proper nouns,entity label,word count,unique word count,TTR,entity raw text,mentions,hashtags,urls,count(rel words),relationship words,class,ttr curve,ttr slope
1,"JSAC Jobs 2010 Of Meteorologist, Technical Officer, Technical Officer & Computer Programmer at http://ping.fm/COcAQ","JSAC Jobs $NUMBER$ Of Meteorologist, Technical Officer, Technical Officer & Computer Programmer at $URL$",115,"['PROPN', 'PROPN', 'NUM', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'NOUN', 'ADP', 'PROPN']",0,1,0,0,0,0,2,9,"['PERSON', 'DATE', 'NORP', 'ORG']",14,13,0.9285714285714286,"['JSAC Jobs', '2010', 'Meteorologist', 'Technical Officer & Computer Programmer']",0,0,0,0,[],bot_traditional,"[1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 6]",0.3176470588235294
2,Mazagon Dock Limited (MDL) Recruitment 2010 Of Chief Manager Administration Jobs : http://ping.fm/L38ap,Mazagon Dock Limited (MDL) Recruitment $NUMBER$ Of Chief Manager Administration Jobs : $URL$,103,"['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'NUM', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'X']",0,1,0,0,0,0,3,8,"['ORG', 'DATE', 'PERSON']",13,13,1.0,"['Mazagon Dock Limited', '2010', 'Administration Jobs']",0,0,0,1,['Manager'],bot_traditional,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 6]",0.3857142857142857
3,Innovative DIY Picture Frame Ideas For Raksha Bandhan Gifts At http://ping.fm/NNHfq,Innovative DIY Picture Frame Ideas For Raksha Bandhan Gifts At $URL$,83,"['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'X']",0,1,0,0,1,0,0,6,['ORG'],11,11,1.0,['Innovative DIY Picture Frame Ideas'],0,0,0,0,[],bot_traditional,"[1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5]",0.33636363636363636
4,"Chaudhary Devi Lal University (CDLU) Haryana, Academics, Admissions, Examinations & Results at http://ping.fm/ROx1N","Chaudhary Devi Lal University (CDLU) Haryana, Academics, Admissions, Examinations & Results at $URL$",115,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN']",0,2,0,0,0,0,5,9,"['ORG', 'GPE', 'ORG']",13,13,1.0,"['Chaudhary Devi Lal University', 'Haryana', 'Academics, Admissions, Examinations & Results']",0,0,0,0,[],bot_traditional,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 5, 5]",0.19504643962848298
5,Visvesvaraya Technological University (VTU) BE & B.Tech 4th Semester Examination Results 2010 at http://ping.fm/XuYha,Visvesvaraya Technological University (VTU) BE & B.Tech $NUMBER$th Semester Examination Results $NUMBER$ at $URL$,117,"['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'VERB', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NUM', 'ADP', 'PROPN']",0,0,1,0,1,0,2,9,"['ORG', 'ORG', 'ORDINAL', 'DATE']",14,14,1.0,"['Visvesvaraya Technological University', 'BE & B.Tech', '4th', '2010']",0,0,0,0,[],bot_traditional,"[1, 1, 1, 2, 2, 2, 2, 3, 4, 5, 5, 5, 5, 6, 7, 7]",0.43529411764705883
6,Madras University PG Degree Instant & Revaluation Examination Results 2010 at http://ping.fm/0HCUc,Madras University PG Degree Instant & Revaluation Examination Results $NUMBER$ at $URL$,98,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'NUM', 'ADP', 'NOUN']",0,1,0,0,0,0,0,8,"['ORG', 'DATE']",12,12,1.0,"['Madras University PG Degree Instant & Revaluation Examination Results', '2010']",0,0,0,0,[],bot_traditional,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 5]",0.3251748251748252
7,Union Public Service Commission (UPSC) CAT-I (Geologist) & CAT-II (Hydrogeologist) Examination Results 2009 at http://ping.fm/gNOqO,Union Public Service Commission (UPSC) CAT-I (Geologist) & CAT-II (Hydrogeologist) Examination Results $NUMBER$ at $URL$,131,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PRON', 'PUNCT', 'PROPN', 'PUNCT', 'CCONJ', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'NUM', 'ADP', 'NOUN']",1,2,0,0,0,0,8,11,"['ORG', 'ORG', 'ORG', 'DATE', 'CARDINAL']",15,15,1.0,"['Union Public Service Commission', 'UPSC', 'Geologist) &', '2009', 'http://ping.fm/gNOqO']",0,0,0,0,[],bot_traditional,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 7, 7]",0.22307692307692306
8,UPSC CDS II Final Results for Men & Women Examination Results 2010 at http://ping.fm/m0L7b,UPSC CDS II Final Results for Men & Women Examination Results $NUMBER$ at $URL$,90,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'NUM', 'ADP', 'NOUN']",0,1,0,0,0,0,0,9,"['ORG', 'DATE']",14,13,0.9285714285714286,"['Men & Women Examination', '2010']",0,0,0,0,[],bot_traditional,"[1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 5]",0.3076923076923077
9,Kota University BSc (Bio-Chem) Part II Examination Results 2010 at http://ping.fm/8UkiN,Kota University BSc (Bio-Chem) Part II Examination Results $NUMBER$ at $URL$,87,"['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'NUM', 'ADP', 'NOUN']",0,3,0,0,0,0,3,7,"['ORG', 'ORG', 'DATE']",11,11,1.0,"['Kota University', 'Bio-Chem', '2010']",0,0,0,0,[],bot_traditional,"[1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5]",0.2214285714285714
10,Latest Admissions News At http://ping.fm/29jyR,Latest Admissions News At $URL$,46,"['ADJ', 'PROPN', 'PROPN', 'ADP', 'NOUN']",0,1,0,0,1,0,0,2,['ORG'],5,5,1.0,['Latest Admissions News'],0,0,0,0,[],bot_traditional,"[1, 2, 2, 3, 4]",0.7000000000000001
