index,raw,preprocessed tweet,char count,pos,pronouns,nouns,verbs,adverbs,adjectives,symbols,punctuation,proper nouns,entity label,word count,unique word count,TTR,entity raw text,mentions,hashtags,urls,count(rel words),relationship words,class,ttr curve,ttr slope
1,"RT @morningJewshow: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.","$RESERVED$ $MENTION$: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.",129,"['PROPN', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']",0,4,1,0,2,0,5,9,"['PERSON', 'NORP', 'TIME', 'FAC', 'GPE']",20,20,1.0,"['RT @morningJewshow:', 'Jews', 'tonight', 'Temple Emanu-El', 'San Francisco']",1,0,0,0,[],human17,"[1, 2, 3, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7]",0.1651282051282051
2,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,140,"['DET', 'NOUN', 'SYM', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PART', 'VERB', 'NOUN', 'SYM', 'ADJ', 'NOUN']",0,10,4,1,3,2,1,0,[],18,18,1.0,[],0,0,0,0,[],human17,"[1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 6, 6, 6, 6, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9]",0.34461538461538466
3,Only upside of the moment I can think of is that network news hasn't booked their #Baltimore panels with Bill Cosby.#fb,Only upside of the moment I can think of is that network news hasn't booked their $HASHTAG$ panels with Bill Cosby.$HASHTAG$,119,"['ADV', 'NOUN', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'SYM', 'PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN']",1,6,5,2,1,1,0,2,"['GPE', 'PERSON']",21,20,0.9523809523809523,"['Baltimore', 'Bill Cosby.#fb']",0,2,0,0,[],human17,"[1, 2, 3, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 8, 9, 9, 9, 9, 9]",0.30632411067193677
4,If you're going to think about+create experiences then you need a broad knowledge of what the human experience is. #peopleoverinterfaces #UX,If you're going to think about+create e$SMILEY$eriences then you need a broad knowledge of what the human e$SMILEY$erience is. $HASHTAG$ $HASHTAG$,140,"['ADP', 'PRON', 'VERB', 'VERB', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADV', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'SYM', 'PROPN']",2,6,5,1,3,1,1,1,"['MONEY', 'MONEY']",21,20,0.9523809523809523,"['#peopleoverinterfaces', 'UX']",0,2,0,0,[],human17,"[1, 2, 3, 3, 4, 4, 5, 6, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 10, 11]",0.32846153846153847
5,Watching a thread on FB about possible future of UX speaker and crowd suggestions seem 96%white American dudes. Dream broadly people.,Watching a thread on FB about possible future of UX speaker and crowd suggestions seem $NUMBER$%white American dudes. Dream broadly people.,133,"['VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'NUM', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADV', 'NOUN', 'PUNCT']",0,8,2,1,2,0,2,2,"['ORG', 'NORP']",21,21,1.0,"['UX', 'American']",0,0,0,0,[],human17,"[1, 2, 3, 4, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10]",0.34782608695652173
6,"RT @SanFranciscoBA: #enoughsenough ""Surprise! Woody Allen’s new film is about a young girl’s romance with a much older man."" =&gt; http://t.co…","$RESERVED$ $MENTION$: $HASHTAG$ ""Surprise! Woody Allen’s new film is about a young girl’s romance with a much older man."" =&gt; $URL$",149,"['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'SYM', 'CCONJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN']",0,10,1,1,3,1,6,3,['ORG'],21,20,0.9523809523809523,['RT'],1,1,0,0,[],human17,"[1, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 10]",0.27661290322580645
7,"RT @thepatrickwalsh: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" for…","$RESERVED$ $MENTION$: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" for…",142,"['PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'ADV', 'VERB', 'PUNCT', 'DET', 'ADP', 'PRON', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'PUNCT', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PROPN']",2,4,5,3,0,0,8,5,"['PERSON', 'PERSON']",24,22,0.9166666666666666,"['RT @thepatrickwalsh', 'Kriss Kross']",1,0,0,0,[],human17,"[1, 1, 2, 2, 2, 3, 4, 4, 5, 6, 7, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",0.2449197860962567
8,RT @TheAtlanticPOL: Watch Baltimore native @tanehisicoates speak on Race in America @JohnsHopkins this morning at 10:30. Livestream here: h…,$RESERVED$ $MENTION$: Watch Baltimore native $MENTION$ speak on Race in America $MENTION$ this morning at $NUMBER$:30. Livestream here: h…,142,"['PROPN', 'ADV', 'PUNCT', 'VERB', 'PROPN', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PROPN', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'PROPN', 'ADV', 'PUNCT', 'PRON', 'PROPN']",1,2,3,2,1,0,3,6,"['ORG', 'GPE', 'PERSON', 'GPE', 'TIME', 'TIME']",19,18,0.9473684210526315,"['RT @TheAtlanticPOL', 'Baltimore', 'Race', 'America', 'this morning', '10:30.']",3,0,0,0,[],human17,"[1, 2, 3, 4, 4, 5, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9, 10, 10]",0.3557312252964427
9,@thelancearthur @hotdogsladies I didn't realize anyone has ever made it to dessert there.,$MENTION$ $MENTION$ I didn't realize anyone has ever made it to dessert there.,89,"['NOUN', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'NOUN', 'VERB', 'ADV', 'VERB', 'PRON', 'PART', 'VERB', 'ADV', 'PUNCT']",2,3,5,3,0,0,1,0,['ORG'],13,12,0.9230769230769231,['@thelancearthur @hotdogsladies'],2,0,0,0,[],human17,"[1, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6]",0.29285714285714287
10,RT @sippey: Here's my one paragraph review of the new MacBook. https://t.co/vUcQgXQJEG,$RESERVED$ $MENTION$: Here's my one paragraph review of the new MacBook. $URL$,86,"['PROPN', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'ADJ', 'NUM', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'PROPN', 'PUNCT', 'X']",0,2,1,1,2,0,2,3,"['PERSON', 'CARDINAL', 'GPE']",12,12,1.0,"['RT @sippey', 'one', 'MacBook']",1,0,0,0,[],human17,"[1, 1, 2, 3, 4, 5, 6, 7, 7, 8, 9, 9, 9, 9, 10]",0.6857142857142857
